 Name eff_wavelength
0 2MASS_2MASS.H 16620.0
1 2MASS_2MASS.J 12350.0
2 2MASS_2MASS.Ks 21590.0
3 GALEX_GALEX.FUV 1548.85
4 GALEX_GALEX.NUV 2303.37
5 JWST_MIRI.F1000W 98793.45
6 JWST_MIRI.F1065C 105542.39
7 JWST_MIRI.F1130W 112960.71
8 JWST_MIRI.F1280W 127059.68
9 JWST_MIRI.F1500W 149257.07
10 JWST_MIRI.F1800W 178734.17
11 JWST_MIRI.F2100W 205601.06
12 JWST_MIRI.F2550W 251515.99
13 JWST_MIRI.F560W 55870.25
14 JWST_MIRI.F770W 75224.94
15 LSST_LSST.g 4740.66
16 LSST_LSST.i 7500.97
17 LSST_LSST.r 6172.34
18 LSST_LSST.u 3751.2
19 LSST_LSST.y 9711.82
20 LSST_LSST.z 8678.9
21 PAN-STARRS_PS1.g 4810.16
22 PAN-STARRS_PS1.i 7503.03
23 PAN-STARRS_PS1.r 6155.47
24 PAN-STARRS_PS1.y 9613.6
25 PAN-STARRS_PS1.z 8668.36
26 Paranal_VISTA.H 16347.44
27 Paranal_VISTA.J 12480.62
28 Paranal_VISTA.Ks 21435.27
29 Paranal_VISTA.Y 10196.14
30 Paranal_VISTA.Z 8788.6
31 SLOAN_SDSS.g 4671.78
32 SLOAN_SDSS.i 7457.89
33 SLOAN_SDSS.r 6141.12
34 SLOAN_SDSS.u 3608.04
35 SLOAN_SDSS.z 8922.78
36 UKIRT_UKIDSS.H 16313.0
37 UKIRT_UKIDSS.J 12483.0
38 UKIRT_UKIDSS.K 22010.0
39 UKIRT_UKIDSS.Y 10305.0
40 WISE_WISE.W1 33526.0
41 WISE_WISE.W2 46028.0
42 WISE_WISE.W3 115608.0
43 WISE_WISE.W4 220883.0
44 Euclid_VIS.vis 6869.74
45 Euclid_NISP.Y 10688.6
46 Euclid_NISP.J 13422.62
47 Euclid_NISP.H 17410.63
48 Paranal_VIMOS.U 3765.07
49 Paranal_VIMOS.B 4288.94
50 Paranal_VIMOS.V 5413.97
51 Paranal_VIMOS.R 6374.84
52 Paranal_VIMOS.I 8028.0
53 Paranal_VIMOS.z 8988.9
54 Subaru_HSC.g 4758.71
55 Subaru_HSC.r 6166.33
56 Subaru_HSC.i 7656.73
57 Subaru_HSC.z 8906.54
58 Subaru_HSC.Y 9759.62
59 Subaru_Suprime.B 4439.35
60 Subaru_Suprime.g 4726.87
61 Subaru_Suprime.V 5448.15
62 Subaru_Suprime.r 6230.91
63 Subaru_Suprime.i 7629.33
64 Subaru_Suprime.z 9017.6
65 Swift_UVOT.UVW2 2083.95
66 Swift_UVOT.UVM2 2245.03
67 Swift_UVOT.UVW1 2681.67
68 Swift_UVOT.U 3520.88
69 Swift_UVOT.B 4345.28
70 Swift_UVOT.V 5411.45
71 Spitzer_IRAC.I1 35074.83
72 Spitzer_IRAC.I2 44365.56
73 Spitzer_IRAC.I3 56280.62
74 Spitzer_IRAC.I4 75890.54
75 Spitzer_MIPS.24mu 232089.81
76 Spitzer_MIPS.70mu 684400.65
77 Spitzer_MIPS.160mu 1530000.0
78 GAIA_GAIA3.Gbp 5035.7502754443
79 GAIA_GAIA3.Grp 7619.9599926215
