lambda all disk dust
1000.0 100612880000000.0 100492960000000.0 119920000000.00002
1011.0 111083165182987.14 110964549950544.02 118615232443.12563
1023.0 136858846529814.27 136712316715542.52 146529814271.74976
1034.0 130589864603481.61 130444893617021.27 144970986460.34814
1046.0 122212925430210.33 122069617590822.2 143307839388.14532
1058.0 119409943289224.94 119268260869565.22 141682419659.73535
1070.0 117258224299065.4 117118130841121.48 140093457943.92523
1082.0 109640351201478.73 109474103512014.8 166247689463.95563
1094.0 101422285191956.12 101257861060329.06 164424131627.05667
1107.0 100718717253839.2 100556224028906.95 162493224932.24933
1119.0 102317801608579.1 102157050938337.8 160750670241.28687
1132.0 102970176678445.23 102811272084805.66 158904593639.576
1145.0 103581554585152.84 103398270742358.08 183283842794.75983
1157.0 110228971477960.25 110047588591184.11 181382886776.1452
1171.0 120611255337318.53 120432040990606.31 179214346712.21176
1184.0 155344003378378.38 155166756756756.75 177246621621.6216
1197.0 200618045112781.97 200417677527151.2 200367585630.74353
1211.0 240780743187448.38 240582691990090.8 198051197357.55573
1224.0 277755882352941.16 277559934640522.88 195947712418.30066
1238.0 258631987075928.94 258438255250403.88 193731825525.0404
1252.0 202053706070287.53 201838194888178.9 215511182108.6262
1266.0 166287172195892.6 166074044233807.25 213127962085.30807
1281.0 150017017954722.88 149806385636221.7 210632318501.17096
1295.0 141959351351351.34 141727845559845.56 231505791505.7915
1310.0 142668183206106.84 142439328244274.78 228854961832.06107
1325.0 141188830188679.25 140939939622641.53 248890566037.73587
1340.0 137057820895522.4 136811716417910.45 246104477611.9403
1355.0 137974376383763.83 137730996309963.1 243380073800.738
1370.0 146880116788321.16 146617518248175.2 262598540145.9854
1386.0 151716969696969.7 151457402597402.6 259567099567.09958
1401.0 150285182012847.97 150006995003568.88 278187009279.08636
1417.0 147466901905434.03 147191856033874.4 275045871559.633
1433.0 142410230286113.06 142117334263782.28 292896022330.77454
1450.0 139810179310344.83 139520717241379.31 289462068965.5172
1466.0 143499085948158.25 143192332878581.16 306753069577.08044
1482.9999999999998 149455252865812.56 149152016183412.03 303236682400.5395
1499.0 161180000000000.0 160860000000000.0 320000000000.0
1516.0000000000002 178970316622691.25 178653905013192.6 316411609498.6807
1533.0 216685192433137.62 216352733202870.2 332459230267.44946
1550.9999999999998 240458542875564.2 240129941972920.72 328600902643.4559
1568.0 202670918367346.94 202326760204081.62 344158163265.30615
1586.0 165457087011349.3 165097931904161.4 359155107187.8941
1603.9999999999998 159058478802992.53 158703354114713.22 355124688279.3018
1622.0 156498557336621.47 156128890258939.6 369667077681.87427
1640.0 153556097560975.62 153172207317073.2 383890243902.4391
1659.0 150080711271850.5 149683146473779.38 397564798071.1272
1678.0 144111251489868.88 143718188319427.88 393063170441.00116
1697.0 138346128461991.75 137939799646434.88 406328815556.86505
1716.0 137460745920745.9 137041445221445.2 419300699300.6993
1734.9999999999998 137476011527377.55 137044023054755.06 431988472622.47845
1755.0 135738507122507.12 135294358974358.98 444148148148.14813
1775.0 133769915492957.75 133313881690140.84 456033802816.9014
1795.0 133448579387186.64 132980924791086.36 467654596100.27856
1815.0 133927184573002.77 133448165289256.2 479019283746.5565
1836.0000000000002 139416797385620.89 138926928104575.14 489869281045.7515
1857.0 146977878298330.62 146477404415724.28 500473882606.3543
1878.0 159334600638977.62 158823759318423.84 510841320553.7807
1899.0000000000002 172712585571353.3 172191606108478.12 520979462875.1974
1920.0 163172395833333.3 162625885416666.66 546510416666.6666
1942.0000000000002 142644284243048.38 142088527291452.1 555756951596.2925
1964.0 132391313645621.17 131826517311608.97 564796334012.22
1986.0 128101852970795.58 127513121852970.8 588731117824.7734
2009.0 126112981582877.06 125516067695370.84 596913887506.222
2031.0 125839241752831.12 125234032496307.22 605209256523.8798
2054.0 126385988315482.0 125758364167478.11 627624148003.8949
2078.0 127552059672762.27 126902829643888.34 649230028873.9171
2101.0 126640885292717.73 125984493098524.5 656392194193.2413
2125.0 123545816470588.23 122868621176470.6 677195294117.6471
2149.0 121315067473243.36 120617533736621.67 697533736621.6846
2173.0 120057965945697.2 119354339622641.52 703626323055.6835
2198.0 118910664240218.38 118187761601455.88 722902638762.5114
2223.0 117951003148897.88 117209257759784.08 741745389113.8102
2248.0 118639715302491.11 117879546263345.2 760169039145.9075
2273.0 121858873735151.78 121080686317641.89 778187417509.8988
2299.0 124536320139190.97 123727812092214.03 808508046976.9465
2325.0 126251260215053.75 125426004301075.25 825255913978.4946
2351.0 127647724372607.38 126806091025095.69 841633347511.697
2378.0 128215559293523.97 127345660218671.16 869899074852.8174
2405.0 128895301455301.45 128010237006237.0 885064449064.4491
2432.0 130053042763157.89 129140822368421.06 912220394736.842
2460.0 130766422764227.66 129840211382113.83 926211382113.8213
2487.0 130552231604342.56 129599911540008.03 952320064334.5396
2515.0 130052405566600.39 129074926441351.88 977479125248.5089
2544.0 128805581761006.27 127803891509433.95 1001690251572.3269
