lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
0.09683246774565915,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.231,0.39,44.23,0.39,44.23,0.39
0.1168310181606982,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.232,0.39,44.23,0.39,44.23,0.39
0.1368314759243701,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.232,0.39,44.23,0.39,44.23,0.39
0.15683193368804194,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.233,0.39,44.23,0.39,44.23,0.39
0.17683239145171376,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.233,0.39,44.23,0.39,44.23,0.39
0.19683094186675285,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.234,0.39,44.23,0.39,44.23,0.39
0.21683139963042472,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.234,0.39,44.23,0.39,44.23,0.39
0.2368318573940966,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.235,0.4,44.23,0.39,44.23,0.39
0.2568323151577685,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.235,0.4,44.23,0.39,44.23,0.39
0.2768308655728075,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.235,0.4,44.23,0.39,44.23,0.39
0.29683132333647944,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.3168317811001513,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.33683223886382313,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.35683078927886225,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.3768312470425341,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
