lambda all sigma blue red opt_lum opt_dim ir_lum ir_dim
29.98 1.8197008586099757e+44 1.5084057854677663e+44 1.7782794100389227e+44 1.862087136662881e+44 3.3113112148259345e+44 9.549925860214289e+43 3.235936569296268e+44 1.0471285480509071e+44
31.392913870565938 1.8197008586099757e+44 1.5084057854677663e+44 1.7782794100389227e+44 1.862087136662881e+44 3.3113112148259345e+44 9.549925860214289e+43 3.235936569296268e+44 1.0471285480509071e+44
32.87241632037262 1.8197008586099757e+44 1.5084057854677663e+44 1.7782794100389227e+44 1.862087136662881e+44 3.3113112148259345e+44 9.549925860214289e+43 3.235936569296268e+44 1.0471285480509071e+44
34.42164557247644 1.862087136662881e+44 1.5864172106122888e+44 1.7782794100389227e+44 1.862087136662881e+44 3.3113112148259345e+44 9.549925860214289e+43 3.235936569296268e+44 1.0471285480509071e+44
36.04388774982988 1.862087136662881e+44 1.5864172106122888e+44 1.8197008586099757e+44 1.9054607179632523e+44 3.3113112148259345e+44 9.549925860214289e+43 3.235936569296268e+44 1.0471285480509071e+44
37.74258384558926 1.862087136662881e+44 1.5864172106122888e+44 1.8197008586099757e+44 1.9054607179632523e+44 3.3113112148259345e+44 9.549925860214289e+43 3.3113112148259345e+44 1.0471285480509071e+44
39.52133702192118 1.862087136662881e+44 1.5864172106122888e+44 1.8197008586099757e+44 1.9054607179632523e+44 3.3884415613920342e+44 9.549925860214289e+43 3.3113112148259345e+44 1.0471285480509071e+44
41.38392025279455 1.862087136662881e+44 1.5864172106122888e+44 1.8197008586099757e+44 1.9054607179632523e+44 3.3884415613920342e+44 9.549925860214289e+43 3.3113112148259345e+44 1.0471285480509071e+44
43.33428432696292 1.862087136662881e+44 1.629293351439648e+44 1.8197008586099757e+44 1.9054607179632523e+44 3.467368504525309e+44 9.549925860214289e+43 3.3884415613920342e+44 1.0471285480509071e+44
45.3765662281175 1.9054607179632523e+44 1.6672444688978083e+44 1.862087136662881e+44 1.949844599758041e+44 3.5481338923357315e+44 9.772372209558152e+43 3.467368504525309e+44 1.0715193052376091e+44
47.51509790998411 1.949844599758041e+44 1.750976412532545e+44 1.862087136662881e+44 1.9952623149688665e+44 3.6307805477010325e+44 9.772372209558152e+43 3.5481338923357315e+44 1.0715193052376091e+44
49.75441548497794 1.949844599758041e+44 1.750976412532545e+44 1.9054607179632523e+44 2.04173794466954e+44 3.715352290971727e+44 9.772372209558152e+43 3.6307805477010325e+44 1.0715193052376091e+44
