lambda, all, sigma, blue, red, opt_lum, opt_dim, ir_lum, ir_dim
1.476831628512260686e+00,4.425999999999999801e+01,3.600000000000000422e-01,4.425000000000000000e+01,4.427000000000000313e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.450999999999999801e+01,4.402000000000000313e+01
1.496831628512260259e+00,4.425999999999999801e+01,3.600000000000000422e-01,4.425000000000000000e+01,4.427000000000000313e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.450999999999999801e+01,4.402000000000000313e+01
1.516831628512259833e+00,4.425999999999999801e+01,3.600000000000000422e-01,4.425000000000000000e+01,4.427000000000000313e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.450999999999999801e+01,4.402000000000000313e+01
1.536831628512259407e+00,4.427000000000000313e+01,3.699999999999999956e-01,4.425000000000000000e+01,4.427000000000000313e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.450999999999999801e+01,4.402000000000000313e+01
1.556831628512258980e+00,4.427000000000000313e+01,3.699999999999999956e-01,4.425999999999999801e+01,4.428000000000000114e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.450999999999999801e+01,4.402000000000000313e+01
1.576831628512262107e+00,4.427000000000000313e+01,3.699999999999999956e-01,4.425999999999999801e+01,4.428000000000000114e+01,4.452000000000000313e+01,4.397999999999999687e+01,4.452000000000000313e+01,4.402000000000000313e+01
1.596831628512261680e+00,4.427000000000000313e+01,3.699999999999999956e-01,4.425999999999999801e+01,4.428000000000000114e+01,4.453000000000000114e+01,4.397999999999999687e+01,4.452000000000000313e+01,4.402000000000000313e+01
1.616831628512261254e+00,4.427000000000000313e+01,3.699999999999999956e-01,4.425999999999999801e+01,4.428000000000000114e+01,4.453000000000000114e+01,4.397999999999999687e+01,4.452000000000000313e+01,4.402000000000000313e+01
1.636831628512260828e+00,4.427000000000000313e+01,3.800000000000000044e-01,4.425999999999999801e+01,4.428000000000000114e+01,4.453999999999999915e+01,4.397999999999999687e+01,4.453000000000000114e+01,4.402000000000000313e+01
1.656831628512260401e+00,4.428000000000000114e+01,3.800000000000000044e-01,4.427000000000000313e+01,4.428999999999999915e+01,4.454999999999999716e+01,4.399000000000000199e+01,4.453999999999999915e+01,4.403000000000000114e+01
1.676831628512259975e+00,4.428999999999999915e+01,3.900000000000000133e-01,4.427000000000000313e+01,4.429999999999999716e+01,4.456000000000000227e+01,4.399000000000000199e+01,4.454999999999999716e+01,4.403000000000000114e+01
1.696831628512259549e+00,4.428999999999999915e+01,3.900000000000000133e-01,4.428000000000000114e+01,4.431000000000000227e+01,4.457000000000000028e+01,4.399000000000000199e+01,4.456000000000000227e+01,4.403000000000000114e+01
1.716831628512259122e+00,4.429999999999999716e+01,4.000000000000000222e-01,4.428999999999999915e+01,4.432000000000000028e+01,4.459000000000000341e+01,4.399000000000000199e+01,4.457999999999999829e+01,4.403999999999999915e+01
1.736831628512262249e+00,4.431000000000000227e+01,4.099999999999999201e-01,4.429999999999999716e+01,4.432999999999999829e+01,4.460000000000000142e+01,4.400000000000000000e+01,4.459000000000000341e+01,4.403999999999999915e+01
