lambda,L,L_low,L_up,NQSOs              
1.2398,8.31374354389773e+44,6.28482923379839e+43,6.79878810192776e+43,0
1.2398,8.31374354389773e+44,6.28482923379837e+43,6.79878810192776e+43,0
1.518755,7.99812851998236e+44,6.10045280509663e+43,6.60417648038463e+43,0
1.79771,7.74501880672625e+44,5.95098919657191e+43,6.44629925566449e+43,0
2.076665,7.53486087002742e+44,5.82577028156392e+43,6.31394942018233e+43,0
2.35562,7.35590513830797e+44,5.71832027415736e+43,6.20031960145438e+43,0
2.634575,7.200567080937e+44,5.62442289162958e+43,6.10097513878057e+43,0
2.91353,7.06368077867395e+44,5.54118490451382e+43,6.01287146017614e+43,0
3.192485,6.94157747346366e+44,5.46653803686724e+43,5.93383115327685e+43,0
3.47144,6.83156289197434e+44,5.3989544254267e+43,5.86224510507741e+43,0
3.750395,6.73160328507989e+44,5.33727462642752e+43,5.79689178001394e+43,0
4.02935,6.64012785158817e+44,5.28059876715879e+43,5.73682280547707e+43,0
4.308305,6.55589950688034e+44,5.22821498382425e+43,5.68128772511125e+43,0
4.58726,6.47792755499985e+44,5.17955083562741e+43,5.62968289558943e+43,0
4.866215,6.40540700858055e+44,5.13413939789166e+43,5.58151581278602e+43,0
5.14517,6.33767539514133e+44,5.09159502881625e+43,5.53637960891654e+43,0
5.424125,6.27418135490415e+44,5.0515956853712e+43,5.4939344373025e+43,0
5.70308,6.21446138221508e+44,5.01386977904181e+43,5.45389363278719e+43,0
5.982035,6.1581223112947e+44,4.97818624505086e+43,5.41601325331285e+43,0
6.26099,6.10482793091139e+44,4.94434692895248e+43,5.38008406032132e+43,0
6.539945,6.05428861736888e+44,4.91218067251792e+43,5.3459252878716e+43,0
6.8189,6.00625320777875e+44,4.88153866459306e+43,5.31337974355812e+43,0
7.097855,5.96050255924882e+44,4.85229074656234e+43,5.28230991465376e+43,0
7.37681,5.91684439284964e+44,4.82432244721907e+43,5.25259484247272e+43,0
7.655765,5.87510912798973e+44,4.79753258134739e+43,5.22412759054202e+43,0
7.93472,5.83514648838173e+44,4.77183128853678e+43,5.1968131765851e+43,0
8.213675,5.79682271500511e+44,4.74713841912538e+43,5.17056687028447e+43,0
8.49263,5.76001826089812e+44,4.72338219630635e+43,5.14531278208811e+43,0
8.771585,5.7246258716268e+44,4.70049809976183e+43,5.12098268551401e+43,0
9.05054,5.69054897687182e+44,4.67842792836738e+43,5.09751502822831e+43,0
9.329495,5.65770033480977e+44,4.65711900868808e+43,5.07485409683468e+43,0
9.60845,5.62600088329279e+44,4.6365235229679e+43,5.05294930766569e+43,0
9.887405,5.59537876127424e+44,4.61659793567484e+43,5.03175460151e+43,0
10.16636,5.56576847122463e+44,4.59730250181198e+43,5.01122792458032e+43,0
10.445315,5.53711015896384e+44,4.57860084344125e+43,4.99133078143571e+43,0
