# lambda   continuum             lines                
  200      2.57272405247338E-4   2.57272405247338E-4  
  202      2.53309725136314E-4   2.53309725136314E-4  
  204      2.49446226663309E-4   2.49446226663309E-4  
  206      2.45678491165817E-4   2.45678491165817E-4  
  208      2.42003249470411E-4   2.42003249470411E-4  
  210      2.38417373998209E-4   2.38417373998209E-4  
  212      2.34917871357618E-4   2.34917871357618E-4  
  214      2.31501875389998E-4   2.31501875389998E-4  
  216      2.28166640636635E-4   2.28166640636635E-4  
  218      2.24909536197872E-4   2.24909536197872E-4  
  220      2.21728039957522E-4   2.21728039957522E-4  
  222      2.18619733147744E-4   2.18619733147744E-4  
  224      2.15582295231454E-4   2.15582295231454E-4  
  226      2.12613499081092E-4   2.12613499081092E-4  
  228      2.0971120643413E-4    2.0971120643413E-4   
  230      2.06873363607175E-4   2.06873363607175E-4  
  232      2.04097997451861E-4   2.04097997451861E-4  
  234      2.01383211536942E-4   2.01383211536942E-4  
  236      1.98727182542116E-4   1.98727182542116E-4  
  238      1.96128156850185E-4   1.96128156850185E-4  
  240      1.93584447325063E-4   1.93584447325063E-4  
  242      1.9109443026406E-4    1.9109443026406E-4   
  244      1.88656542513663E-4   1.88656542513663E-4  
  246      1.86269278738787E-4   1.86269278738787E-4  
  248      1.83931188836169E-4   1.83931188836169E-4  
  250      1.81640875483191E-4   1.81640875483191E-4  
  252      1.79396991814044E-4   1.79396991814044E-4  
  254      1.77198239215652E-4   1.77198239215652E-4  
  256      1.75043365236307E-4   1.75043365236307E-4  
  258      1.72931161600429E-4   1.72931161600429E-4  
  260      1.7086046232328E-4    1.7086046232328E-4   
  262      1.68830141919885E-4   1.68830141919885E-4  
  264      1.66839113702773E-4   1.66839113702773E-4  
  266      1.64886328163506E-4   1.64886328163506E-4  
  268      1.62970771433267E-4   1.62970771433267E-4  
  270      1.610914638181E-4     1.610914638181E-4    
  272      1.59247458404653E-4   1.59247458404653E-4  
  274      1.57437839732552E-4   1.57437839732552E-4  
  276      1.55661722529747E-4   1.55661722529747E-4  
  278      1.53918250507428E-4   1.53918250507428E-4  
  280      1.52206595211292E-4   1.52206595211292E-4  
  282      1.50525954926149E-4   1.50525954926149E-4  
  284      1.48875553631027E-4   1.48875553631027E-4  
  286      1.47254640002123E-4   1.47254640002123E-4  
  288      1.45662486461082E-4   1.45662486461082E-4  
  290      1.44098388266247E-4   1.44098388266247E-4  
  292      1.42561662644671E-4   1.42561662644671E-4  
  294      1.41051647962778E-4   1.41051647962778E-4  
  296      1.39567702933719E-4   1.39567702933719E-4  
  298      1.38109205859564E-4   1.38109205859564E-4  
  300      1.36675553906565E-4   1.36675553906565E-4  
  302      1.35266162411852E-4   1.35266162411852E-4  
  304      1.33880464219991E-4   1.33880464219991E-4  
  306      1.32517909047935E-4   1.32517909047935E-4  
  308      1.31177962876984E-4   1.31177962876984E-4  
  310      1.29860107370421E-4   1.29860107370421E-4  
  312      1.28563839315601E-4   1.28563839315601E-4  
  314      1.27288670089308E-4   1.27288670089308E-4  
  316      1.26034125145268E-4   1.26034125145268E-4  
  318      1.24799743522769E-4   1.24799743522769E-4  
  320      1.23585077375397E-4   1.23585077375397E-4  
  322      1.22389691518933E-4   1.22389691518933E-4  
  324      1.21213162997531E-4   1.21213162997531E-4  
  326      1.20055080667319E-4   1.20055080667319E-4  
  328      1.18915044796639E-4   1.18915044796639E-4  
  330      1.17792666682137E-4   1.17792666682137E-4  
  332      1.16687568280015E-4   1.16687568280015E-4  
  334      1.15599381851732E-4   1.15599381851732E-4  
  336      1.14527749623519E-4   1.14527749623519E-4  
  338      1.13472323459094E-4   1.13472323459094E-4  
  340      1.12432764544979E-4   1.12432764544979E-4  
  342      1.11408743087869E-4   1.11408743087869E-4  
  344      1.1039993802353E-4    1.1039993802353E-4   
  346      1.09406036736715E-4   1.09406036736715E-4  
  348      1.08426734791615E-4   1.08426734791615E-4  
  350      1.07461735672411E-4   1.07461735672411E-4  
  352      1.06510750533472E-4   1.06510750533472E-4  
  354      1.05573497958798E-4   1.05573497958798E-4  
  356      1.04649703730315E-4   1.04649703730315E-4  
  358      1.03739100604649E-4   1.03739100604649E-4  
  360      1.02841428098022E-4   1.02841428098022E-4  
  362      1.01956432278933E-4   1.01956432278933E-4  
  364      1.01083865568295E-4   1.01083865568295E-4  
  366      1.00223486546733E-4   1.00223486546733E-4  
  368      9.93750597687386E-5   9.93750597687386E-5  
  370      9.85383555833995E-5   9.85383555833995E-5  
  372      9.77131499614513E-5   9.77131499614513E-5  
  374      9.68992243283802E-5   9.68992243283802E-5  
  376      9.60963654033437E-5   9.60963654033437E-5  
  378      9.53043650436729E-5   9.53043650436729E-5  
  380      9.4523020094736E-5    9.4523020094736E-5   
  382      9.37521322449502E-5   9.37521322449502E-5  
  384      9.29915078857413E-5   9.29915078857413E-5  
  386      9.22409579762545E-5   9.22409579762545E-5  
  388      9.1500297912635E-5    9.1500297912635E-5   
  390      9.07693474016984E-5   9.07693474016984E-5  
  392      9.00479303388247E-5   9.00479303388247E-5  
  394      8.93358746899106E-5   8.93358746899106E-5  
  396      8.86330123772295E-5   8.86330123772295E-5  
  398      8.79391791690468E-5   8.79391791690468E-5  
  400      8.72542145728524E-5   8.72542145728524E-5  
  402      8.65779617320715E-5   8.65779617320715E-5  
  404      8.5910267326126E-5    8.5910267326126E-5   
  406      8.52509814737205E-5   8.52509814737205E-5  
  408      8.45999576392343E-5   8.45999576392343E-5  
  410      8.39570525421044E-5   8.39570525421044E-5  
  412      8.33221260690905E-5   8.33221260690905E-5  
  414      8.26950411893169E-5   8.26950411893169E-5  
  416      8.20756638719894E-5   8.20756638719894E-5  
  418      8.1463863006692E-5    8.1463863006692E-5   
  420      8.085951032617E-5     8.085951032617E-5    
  422      8.02624803315105E-5   8.02624803315105E-5  
  424      7.9672650219635E-5    7.9672650219635E-5   
  426      7.90898998130219E-5   7.90898998130219E-5  
  428      7.85141114915809E-5   7.85141114915809E-5  
  430      7.7945170126603E-5    7.7945170126603E-5   
  432      7.73829630167142E-5   7.73829630167142E-5  
  434      7.68273798257622E-5   7.68273798257622E-5  
  436      7.62783125225704E-5   7.62783125225704E-5  
  438      7.57356553224939E-5   7.57356553224939E-5  
  440      7.51993046307162E-5   7.51993046307162E-5  
  442      7.46691589872264E-5   7.46691589872264E-5  
  444      7.41451190134211E-5   7.41451190134211E-5  
  446      7.36270873602741E-5   7.36270873602741E-5  
  448      7.3114968658023E-5    7.3114968658023E-5   
  450      7.26086694673202E-5   7.26086694673202E-5  
  452      7.21080982318004E-5   7.21080982318004E-5  
  454      7.16131652320172E-5   7.16131652320172E-5  
  456      7.11237825407032E-5   7.11237825407032E-5  
  458      7.06398639793101E-5   7.06398639793101E-5  
  460      7.01613250757872E-5   7.01613250757872E-5  
  462      6.9688083023557E-5    6.9688083023557E-5   
  464      6.92200566416498E-5   6.92200566416498E-5  
  466      6.87571663359589E-5   6.87571663359589E-5  
  468      6.82993340615814E-5   6.82993340615814E-5  
  470      6.78464832862078E-5   6.78464832862078E-5  
  472      6.73985389545295E-5   6.73985389545295E-5  
  474      6.69554274536292E-5   6.69554274536292E-5  
  476      6.65170765793242E-5   6.65170765793242E-5  
  478      6.60834155034335E-5   6.60834155034335E-5  
  480      6.56543747419367E-5   6.56543747419367E-5  
  482      6.52298861240006E-5   6.52298861240006E-5  
  484      6.48098827618429E-5   6.48098827618429E-5  
  486      6.43942990214093E-5   6.43942990214093E-5  
  488      6.39830704938377E-5   6.39830704938377E-5  
  490      6.35761339676859E-5   6.35761339676859E-5  
  492      6.31734274018988E-5   6.31734274018988E-5  
  494      6.27748898994927E-5   6.27748898994927E-5  
  496      6.23804616819353E-5   6.23804616819353E-5  
  498      6.19900840641993E-5   6.19900840641993E-5  
  500      6.16036994304702E-5   6.16036994304702E-5  
  502      6.12212512104885E-5   6.12212512104885E-5  
  504      6.08426838565068E-5   6.08426838565068E-5  
  506      6.04679428208432E-5   6.04679428208432E-5  
  508      6.00969745340152E-5   6.00969745340152E-5  
  510      5.97297263834338E-5   5.97297263834338E-5  
  512      5.93661466926444E-5   5.93661466926444E-5  
  514      5.90061847010957E-5   5.90061847010957E-5  
  516      5.86497905444238E-5   5.86497905444238E-5  
  518      5.82969152352341E-5   5.82969152352341E-5  
  520      5.7947510644368E-5    5.7947510644368E-5   
  522      5.76015294826397E-5   5.76015294826397E-5  
  524      5.72589252830301E-5   5.72589252830301E-5  
  526      5.6919652383324E-5    5.6919652383324E-5   
  528      5.6583665909179E-5    5.6583665909179E-5   
  530      5.62509217576117E-5   5.62509217576117E-5  
  532      5.59213765808923E-5   5.59213765808923E-5  
  534      5.55949877708335E-5   5.55949877708335E-5  
  536      5.52717134434639E-5   5.52717134434639E-5  
  538      5.49515124240745E-5   5.49515124240745E-5  
  540      5.46343442326286E-5   5.46343442326286E-5  
  542      5.43201690695241E-5   5.43201690695241E-5  
  544      5.4008947801699E-5    5.4008947801699E-5   
  546      5.37006419490706E-5   5.37006419490706E-5  
  548      5.33952136712984E-5   5.33952136712984E-5  
  550      5.30926257548634E-5   5.30926257548634E-5  
  552      5.27928416004534E-5   5.27928416004534E-5  
  554      5.2495825210647E-5    5.2495825210647E-5   
  556      5.22015411778879E-5   5.22015411778879E-5  
  558      5.1909954672742E-5    5.1909954672742E-5   
  560      5.16210314324288E-5   5.16210314324288E-5  
  562      5.13347377496205E-5   5.13347377496205E-5  
  564      5.10510404615016E-5   5.10510404615016E-5  
  566      5.07699069390817E-5   5.07699069390817E-5  
  568      5.04913050767547E-5   5.04913050767547E-5  
  570      5.02152032820982E-5   5.02152032820982E-5  
  572      4.99415704659072E-5   4.99415704659072E-5  
  574      4.96703760324544E-5   4.96703760324544E-5  
  576      4.94015898699728E-5   4.94015898699728E-5  
  578      4.91351823413539E-5   4.91351823413539E-5  
  580      4.88711242750565E-5   4.88711242750565E-5  
  582      4.86093869562193E-5   4.86093869562193E-5  
  584      4.83499421179741E-5   4.83499421179741E-5  
  586      4.80927619329526E-5   4.80927619329526E-5  
  588      4.78378190049825E-5   4.78378190049825E-5  
  590      4.75850863609687E-5   4.75850863609687E-5  
  592      4.73345374429535E-5   4.73345374429535E-5  
  594      4.70861461003526E-5   4.70861461003526E-5  
  596      4.68398865823614E-5   4.68398865823614E-5  
  598      4.6595733530528E-5    4.6595733530528E-5   
  600      4.63536619714885E-5   4.63536619714885E-5  
  602      4.61136473098602E-5   4.61136473098602E-5  
  604      4.58756653212896E-5   4.58756653212896E-5  
  606      4.56396921456498E-5   4.56396921456498E-5  
  608      4.54057042803857E-5   4.54057042803857E-5  
  610      4.51736785740011E-5   4.51736785740011E-5  
  612      4.49435922196865E-5   4.49435922196865E-5  
  614      4.47154227490817E-5   4.47154227490817E-5  
  616      4.44891480261718E-5   4.44891480261718E-5  
  618      4.42647462413128E-5   4.42647462413128E-5  
  620      4.40421959053832E-5   4.40421959053832E-5  
  622      4.38214758440588E-5   4.38214758440588E-5  
  624      4.3602565192208E-5    4.3602565192208E-5   
  626      4.33854433884044E-5   4.33854433884044E-5  
  628      4.31700901695537E-5   4.31700901695537E-5  
  630      4.29564855656328E-5   4.29564855656328E-5  
